HomeyID;Namn;Klass;Driver;ZonID;ZonNamn;ZonStig;Senast_uppdaterad;Capabilities;Temperatur_C;Fuktighet_pct;Lufttryck_hPa;CO2_ppm;PM25_ugm3;Ljud_dB;Ljus_lux;Vind_ms;Vindriktning_grader;Vindby_ms;Regn_mmh;UV_index;Batteri_pct;Batteri_alarm;Effekt_W;Spanning_V;Strom_A;Energi_kWh_totalt;Energi_idag_kWh;Energi_senaste_timme_kWh;Energi_15min_kWh;Energi_forramanad_kWh;Kostnad_kr;Pa_av;Dimmer_pct;Rorselsedetektor;Kontakt_oppnad;Sabotage_alarm;Rok_alarm;Kolmonoxid_alarm;Vatten_alarm;Varme_alarm;Ljusfarg_hue;Ljusfarg_saturation;Ljustemp_K;Ljuslage
02824e25-13a4-45ab-ae41-e2f28582a759;Klot-31;light;com.ikea.tradfri;52fbf6b7-ab3d-442d-9f95-54bb6dd1584b;KlotRad-3;Hem / Bottenvåningen / Altan norr / AltanKlot / KlotRad-3;1772467960824;"onoff; dim";;;;;;;;;;;;;;;;;;;;;;;;True;0.05;;;;;;;;;;;
049cdb79-1069-4246-9c46-38eb8d614c76;LMDT-609;sensor;se.nexa;0f8126d0-1358-4385-a7c7-52f54e293769;Lediga;Hem / Lediga;1767906114874;alarm_motion;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;
0574aa59-ec5b-4d29-a2bb-8ac556328947;Matsal vä;light;com.ikea.tradfri;338b2747-9046-420f-9916-0e6be7da38f6;Lampor FÖNSTER;Hem / Lampor FÖNSTER;1772467960567;"onoff; dim; light_temperature";;;;;;;;;;;;;;;;;;;;;;;;True;0.3;;;;;;;;;;1;
0865a88c-80a2-4518-81e2-ee5851bb610c;k7 — ÖV Huvudsovrum;thermostat;com.netatmo;32a05fd1-70fb-42ce-9919-79f46573f68f;Huvudsovrum;Hem / Andra våningen / Huvudsovrum;1772454989678;"measure_temperature; target_temperature; measure_battery; alarm_contact.window; netatmo_thermostat_mode";20.5;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;
0aac0600-996a-47f5-b408-b45a8f3bde6a;Spot-tak-01 (GU10);light;com.ikea.tradfri;ebcae6b9-2fe8-42f0-8610-c1ccab9408d5;Hall;Hem / Andra våningen / Hall;1772223410752;"onoff; dim; light_temperature";;;;;;;;;;;;;;;;;;;;;;;;False;0;;;;;;;;;;1;
0b0e3af0-da59-4848-b0b6-ecbc0cbf7793;Klot-23;light;com.ikea.tradfri;c96c23c8-56b4-4e53-bcb4-2534755f9cfb;KlotRad-2;Hem / Bottenvåningen / Altan norr / AltanKlot / KlotRad-2;1772467960526;"onoff; dim";;;;;;;;;;;;;;;;;;;;;;;;True;0.05;;;;;;;;;;;
0c9b33df-1cb6-4bd0-ad7a-c3cc2aee48ed;VU-Effektmät;socket;com.ikea.tradfri;68946448-38b4-453d-9367-5d6942b5de02;Altan norr;Hem / Bottenvåningen / Altan norr;1772477020957;"onoff; measure_voltage; measure_current; measure_power; meter_power";;;;;;;;;;;;;;;0;233.6;0;0.94;;;;;;False;;;;;;;;;;;;
0fa7f60e-7934-4268-8af1-e39c3664daa0;Klot-12;light;com.ikea.tradfri;5cc4e8a5-1d1e-4015-aeb4-a70d9e5dfbc6;KlotRad-1;Hem / Bottenvåningen / Altan norr / AltanKlot / KlotRad-1;1772467959940;"onoff; dim";;;;;;;;;;;;;;;;;;;;;;;;True;0.05;;;;;;;;;;;
11f32d19-dffe-4e11-8a64-b873f7ecdc79;BV Hall Hö;light;com.ikea.tradfri;338b2747-9046-420f-9916-0e6be7da38f6;Lampor FÖNSTER;Hem / Lampor FÖNSTER;1772467958937;"onoff; dim; light_temperature";;;;;;;;;;;;;;;;;;;;;;;;True;0.3;;;;;;;;;;1;
12605755-e152-492c-8f2e-7b2fab2976b4;VU-3 (312538);socket;se.telldus;3849f849-8cb8-45f3-8551-e9cf81a3bf69;Kök;Hem / Bottenvåningen / Kök;1765219679720;onoff;;;;;;;;;;;;;;;;;;;;;;;;True;;;;;;;;;;;;
